ruleNo,ruleID,ruleSeq,ruleName,Group,Type,Product Group,Product Sub Group,DisplayName
1,ruleNo1_1_ฝ้าทีบาร์,1,ฝ้าทีบาร์,แผ่นฝ้า,main,YG000-06,,ยิปซั่ม 60 x 60
1,ruleNo1_1_ฝ้าทีบาร์,2,ฝ้าทีบาร์,โครงคร่าว,main,CG03,,โครงทีซอย
1,ruleNo1_1_ฝ้าทีบาร์,3,ฝ้าทีบาร์,โครงคร่าว,main,CG04,,โครงทีเมน
1,ruleNo1_1_ฝ้าทีบาร์,4,ฝ้าทีบาร์,ฉนวน,sub,YG000-13,YS000-51,ฉนวนกันร้อน
1,ruleNo1_1_ฝ้าทีบาร์,5,ฝ้าทีบาร์,ฉนวน,sub,YG000-13,YS000-52,ฉนวนกันเสียง
1,ruleNo1_1_ฝ้าทีบาร์,6,ฝ้าทีบาร์,อุปกรณ์,sub,CG18,,ผ้าฉาบ
1,ruleNo1_1_ฝ้าทีบาร์,7,ฝ้าทีบาร์,อุปกรณ์,sub,CG30,,ปูนฉาบ
1,ruleNo1_1_ฝ้าทีบาร์,8,ฝ้าทีบาร์,อุปกรณ์,sub,CG43,,สีทาฝ้า
1,ruleNo1_1_ฝ้าทีบาร์,9,ฝ้าทีบาร์,อุปกรณ์,sub,CG43,,สีย้อมไม้
1,ruleNo1_1_ฝ้าทีบาร์,10,ฝ้าทีบาร์,อุปกรณ์,sub,CG20,,สกูร
1,ruleNo1_1_ฝ้าทีบาร์,11,ฝ้าทีบาร์,อุปกรณ์,sub,CG18,,ผ้าเทปแปะฉนวน
1,ruleNo1_1_ฝ้าทีบาร์,12,ฝ้าทีบาร์,เครื่องมือ,sub,CG19,,เกียงฉาบ
1,ruleNo1_1_ฝ้าทีบาร์,13,ฝ้าทีบาร์,เครื่องมือ,sub,CG26,,ลูกกลิ้งทาสี
1,ruleNo1_1_ฝ้าทีบาร์,14,ฝ้าทีบาร์,เครื่องมือ,sub,CG27,,อะไหล่ลูกกลิ้งทาสี
1,ruleNo1_1_ฝ้าทีบาร์,15,ฝ้าทีบาร์,เครื่องมือ,sub,CG25,,แปรงทาสี
1,ruleNo1_1_ฝ้าทีบาร์,16,ฝ้าทีบาร์,เครื่องมือ,sub,AS,S15,ปืนยิงกาวซิลิโคน
1,ruleNo1_1_ฝ้าทีบาร์,17,ฝ้าทีบาร์,เครื่องมือ,sub,AS,S16,ปืนยิงกาวซิลิโคน
1,ruleNo1_1_ฝ้าทีบาร์,18,ฝ้าทีบาร์,เครื่องมือ,sub,AS,S17,ปืนยิงกาวซิลิโคน
1,ruleNo1_1_ฝ้าทีบาร์,19,ฝ้าทีบาร์,เครื่องมือ,sub,AS,S18,ปืนยิงกาวซิลิโคน
1,ruleNo1_1_ฝ้าทีบาร์,20,ฝ้าทีบาร์,เครื่องมือ,sub,EG14,ESG13,อุปกรณ์เครื่องมือช่าง
1,ruleNo1_1_ฝ้าทีบาร์,21,ฝ้าทีบาร์,เครื่องมือ,sub,EG15,ESG13,อุปกรณ์เครื่องมือช่าง
1,ruleNo1_2_โครงคร่าวทีบาร์,1,โครงคร่าวทีบาร์,โครงคร่าว,main,CG03,,โครงทีซอย
1,ruleNo1_2_โครงคร่าวทีบาร์,2,โครงคร่าวทีบาร์,แผ่นฝ้า,main,YG000-06,,ยิปซั่ม 60 x 60
1,ruleNo1_2_โครงคร่าวทีบาร์,3,โครงคร่าวทีบาร์,แผ่นฝ้า,main,YG000-05,,ยิปซั่ม 60 x 60
1,ruleNo1_2_โครงคร่าวทีบาร์,4,โครงคร่าวทีบาร์,ฉนวน,sub,YG000-13,YS000-51,ฉนวนกันร้อน
1,ruleNo1_2_โครงคร่าวทีบาร์,5,โครงคร่าวทีบาร์,ฉนวน,sub,YG000-13,YS000-52,ฉนวนกันเสียง
1,ruleNo1_2_โครงคร่าวทีบาร์,6,โครงคร่าวทีบาร์,อุปกรณ์,sub,CG35,,ลวดแขวนท่อนบน
1,ruleNo1_2_โครงคร่าวทีบาร์,7,โครงคร่าวทีบาร์,อุปกรณ์,sub,CG34,,สปริงล็อก
1,ruleNo1_2_โครงคร่าวทีบาร์,8,โครงคร่าวทีบาร์,อุปกรณ์,sub,CG36,,ฉากยึดท้องพื้น
1,ruleNo1_2_โครงคร่าวทีบาร์,9,โครงคร่าวทีบาร์,อุปกรณ์,sub,CG20,CS034,พุกเหล็ก
1,ruleNo1_2_โครงคร่าวทีบาร์,10,โครงคร่าวทีบาร์,เครื่องมือ,sub,EG14,ESG13,อุปกรณ์เครื่องมือช่าง
1,ruleNo1_2_โครงคร่าวทีบาร์,11,โครงคร่าวทีบาร์,เครื่องมือ,sub,EG15,ESG13,อุปกรณ์เครื่องมือช่าง
